step,training_loss,validation_loss
1,15.3215,
2,14.7205,
3,15.6231,
4,14.7818,
5,15.0946,
6,14.6601,
7,9.4869,
8,4.7576,
9,1.8001,
10,1.2071,
11,1.188,
12,1.175,
13,1.0805,
14,1.1163,
15,0.8898,
16,0.9907,
17,0.9609,
18,0.9752,
19,0.742,
20,0.988,
21,0.7984,
22,0.6347,
23,0.7603,
24,0.8231,
25,0.6781,
26,0.7704,
27,0.7114,
28,0.5101,
29,0.589,
30,0.5629,
31,0.7277,
32,0.6377,
33,0.5039,
34,0.4877,
35,0.6532,
36,0.5973,
37,0.4768,
38,0.5118,
39,0.5304,
40,0.633,
41,0.4757,
42,0.4716,
43,0.311,
44,0.5105,
45,0.4755,
46,0.3848,
47,0.4467,
48,0.3749,
49,0.3895,
50,0.5259,
51,0.3727,
52,0.39,
53,0.5218,
54,0.4044,
55,0.3307,
56,0.3254,
57,0.34,
58,0.3436,
59,0.2531,
60,0.4537,
61,0.3958,
62,0.4579,
63,0.5311,
64,0.1219,0.38516026735305786
65,0.4805,
66,0.4113,
67,0.3355,
68,0.3641,
69,0.3363,
70,0.3246,
71,0.3015,
72,0.3724,
73,0.2833,
74,0.3958,
75,0.3339,
76,0.4259,
77,0.4517,
78,0.3132,
79,0.3345,
80,0.2509,
81,0.3092,
82,0.4256,
83,0.4094,
84,0.4277,
85,0.3479,
86,0.2855,
87,0.388,
88,0.3881,
89,0.2719,
90,0.3579,
91,0.2147,
92,0.2867,
93,0.3453,
94,0.2483,
95,0.2426,
96,0.2681,
97,0.2975,
98,0.3029,
99,0.3497,
100,0.4226,
101,0.3646,
102,0.3254,
103,0.3586,
104,0.4333,
105,0.323,
106,0.2568,
107,0.366,
108,0.3363,
109,0.372,
110,0.2406,
111,0.291,
112,0.4328,
113,0.3461,
114,0.3396,
115,0.2331,
116,0.3708,
117,0.2852,
118,0.3548,
119,0.3355,
120,0.2374,
121,0.2349,
122,0.2645,
123,0.3263,
124,0.3181,
125,0.3061,
126,0.2906,
127,0.248,
128,0.232,0.3264066278934479
129,0.356,
130,0.1665,
131,0.2351,
132,0.2961,
133,0.3644,
134,0.3491,
135,0.3551,
136,0.2161,
137,0.2592,
138,0.2169,
139,0.281,
140,0.212,
141,0.2959,
142,0.3242,
143,0.1962,
144,0.1982,
145,0.3606,
146,0.2443,
147,0.2687,
148,0.2671,
149,0.2922,
150,0.2544,
151,0.2661,
152,0.2339,
153,0.1814,
154,0.3188,
155,0.2484,
156,0.2658,
157,0.1939,
158,0.3209,
159,0.4227,
160,0.2998,
161,0.2575,
162,0.1716,
163,0.3104,
164,0.1936,
165,0.2739,
166,0.2345,
167,0.2704,
168,0.2792,
169,0.2594,
170,0.3457,
171,0.3333,
172,0.2118,
173,0.2629,
174,0.2527,
175,0.2134,
176,0.288,
177,0.3473,
178,0.3812,
179,0.2917,
180,0.196,
181,0.1748,
182,0.2222,
183,0.3041,
184,0.3403,
185,0.1526,
186,0.1828,
187,0.2515,
188,0.2784,
189,0.2632,0.3145443797111511
