step,training_loss,validation_loss
1,15.2911,
2,14.7429,
3,16.3986,
4,14.807,
5,14.8893,
6,14.6601,
7,9.2891,
8,4.4512,
9,1.8237,
10,1.1742,
11,1.1866,
12,1.1562,
13,1.0509,
14,1.1156,
15,0.8859,
16,0.9633,
17,0.9668,
18,0.9225,
19,0.7547,
20,1.0294,
21,0.7592,
22,0.6141,
23,0.6959,
24,0.8047,
25,0.572,
26,0.7128,
27,0.7271,
28,0.4957,
29,0.5958,
30,0.5752,
31,0.7695,
32,0.5894,
33,0.5066,
34,0.5181,
35,0.5964,
36,0.577,
37,0.4752,
38,0.5498,
39,0.5283,
40,0.6837,
41,0.4832,
42,0.4852,
43,0.3113,
44,0.4649,
45,0.4633,
46,0.4096,
47,0.3829,
48,0.3477,
49,0.4477,
50,0.5591,
51,0.3767,
52,0.3772,
53,0.5091,
54,0.4011,
55,0.3269,
56,0.3384,
57,0.3197,
58,0.3397,
59,0.2516,
60,0.369,
61,0.3678,
62,0.4895,
63,0.4785,
64,0.1171,0.3820173740386963
65,0.392,
66,0.3981,
67,0.3325,
68,0.3842,
69,0.3228,
70,0.3823,
71,0.2941,
72,0.3596,
73,0.2749,
74,0.3732,
75,0.306,
76,0.3966,
77,0.3874,
78,0.3259,
79,0.3039,
80,0.271,
81,0.2817,
82,0.4534,
83,0.4114,
84,0.3769,
85,0.3492,
86,0.3494,
87,0.3536,
88,0.37,
89,0.229,
90,0.3092,
91,0.2359,
92,0.3062,
93,0.3348,
94,0.2633,
95,0.2302,
96,0.2762,
97,0.3226,
98,0.3263,
99,0.3796,
100,0.4038,
101,0.3356,
102,0.2883,
103,0.3319,
104,0.4528,
105,0.2734,
106,0.235,
107,0.4121,
108,0.3514,
109,0.3313,
110,0.2444,
111,0.3113,
112,0.4561,
113,0.303,
114,0.356,
115,0.2303,
116,0.3717,
117,0.2632,
118,0.3554,
119,0.2896,
120,0.2268,
121,0.2386,
122,0.2935,
123,0.3279,
124,0.3422,
125,0.2959,
126,0.282,
127,0.253,
128,0.1987,0.32184889912605286
129,0.311,
130,0.1681,
131,0.2364,
132,0.2751,
133,0.3425,
134,0.3455,
135,0.2881,
136,0.2161,
137,0.2385,
138,0.2013,
139,0.2699,
140,0.2085,
141,0.3344,
142,0.2478,
143,0.1861,
144,0.176,
145,0.3154,
146,0.225,
147,0.2548,
148,0.2071,
149,0.2817,
150,0.2202,
151,0.3045,
152,0.2116,
153,0.1578,
154,0.3363,
155,0.2668,
156,0.2418,
157,0.1823,
158,0.318,
159,0.3815,
160,0.2917,
161,0.2642,
162,0.1805,
163,0.2708,
164,0.1683,
165,0.258,
166,0.2444,
167,0.2148,
168,0.2815,
169,0.1853,
170,0.3196,
171,0.3509,
172,0.1954,
173,0.2404,
174,0.21,
175,0.215,
176,0.2751,
177,0.3034,
178,0.3729,
179,0.3075,
180,0.1774,
181,0.1455,
182,0.2029,
183,0.2618,
184,0.2831,
185,0.1406,
186,0.1725,
187,0.2215,
188,0.2203,
189,0.2603,
190,0.2088,
191,0.2829,
192,0.2107,0.28974366188049316
193,0.1996,
194,0.2401,
195,0.2665,
196,0.2511,
197,0.1263,
198,0.275,
199,0.2192,
200,0.3453,
201,0.1774,
202,0.1423,
203,0.1275,
204,0.2495,
205,0.1041,
206,0.2535,
207,0.2407,
208,0.1674,
209,0.1468,
210,0.1249,
211,0.1341,
212,0.1045,
213,0.1468,
214,0.1563,
215,0.1794,
216,0.1098,
217,0.1667,
218,0.1878,
219,0.1298,
220,0.1212,
221,0.1311,
222,0.1361,
223,0.1689,
224,0.1453,
225,0.1307,
226,0.1724,
227,0.1686,
228,0.1271,
229,0.0809,
230,0.1696,
231,0.0759,
232,0.1464,
233,0.1706,
234,0.1787,
235,0.204,
236,0.1356,
237,0.1739,
238,0.0779,
239,0.161,
240,0.1284,
241,0.133,
242,0.1469,
243,0.1968,
244,0.2302,
245,0.1921,
246,0.2252,
247,0.1628,
248,0.2506,
249,0.133,
250,0.1562,
251,0.1506,
252,0.1929,
253,0.055,
254,0.2163,
255,0.1342,
256,0.0448,0.23399639129638672
257,0.0956,
258,0.1089,
259,0.0848,
260,0.0958,
261,0.152,
262,0.1884,
263,0.0962,
264,0.061,
265,0.1207,
266,0.0592,
267,0.143,
268,0.095,
269,0.127,
270,0.1695,
271,0.0872,
272,0.1701,
273,0.0541,
274,0.0724,
275,0.1025,
276,0.0552,
277,0.1407,
278,0.1143,
279,0.1133,
280,0.128,
281,0.1162,
282,0.0617,
283,0.1426,
284,0.117,
285,0.0624,
286,0.1148,
287,0.0698,
288,0.1097,
289,0.071,
290,0.0629,
291,0.0889,
292,0.128,
293,0.151,
294,0.0896,
295,0.1038,
296,0.1359,
297,0.1633,
298,0.1779,
299,0.1025,
300,0.1376,
301,0.1133,
302,0.0735,
303,0.0959,
304,0.2513,
305,0.1215,
306,0.1701,
307,0.154,
308,0.1535,
309,0.1086,
310,0.064,
311,0.1597,
312,0.1237,
313,0.1745,
314,0.0732,
315,0.1356,
316,0.1293,
317,0.1044,
318,0.1219,
319,0.1603,
320,0.0415,0.22728084027767181
321,0.0797,
322,0.0757,
323,0.1103,
324,0.1382,
325,0.0686,
326,0.0821,
327,0.0981,
328,0.0713,
329,0.0846,
330,0.0686,
331,0.1086,
332,0.1074,
333,0.1077,
334,0.082,
335,0.1136,
336,0.0534,
337,0.0706,
338,0.1155,
339,0.12,
340,0.1658,
341,0.0939,
342,0.0849,
343,0.0786,
344,0.067,
345,0.1006,
346,0.0727,
347,0.0735,
348,0.0746,
349,0.114,
350,0.0848,
351,0.0498,
352,0.1486,
353,0.0689,
354,0.0863,
355,0.0914,
356,0.0862,
357,0.1351,
358,0.0682,
359,0.1355,
360,0.0785,
361,0.0966,
362,0.0974,
363,0.0651,
364,0.173,
365,0.0584,
366,0.0876,
367,0.0756,
368,0.1026,
369,0.0484,
370,0.113,
371,0.0879,
372,0.0651,
373,0.03,
374,0.0682,
375,0.0938,
376,0.1409,
377,0.1084,
378,0.095,
379,0.0824,
380,0.0418,
381,0.1218,
382,0.1257,
383,0.0648,
384,0.0286,0.2297797054052353
385,0.0414,
386,0.0939,
387,0.0831,
388,0.0682,
389,0.1147,
390,0.0727,
391,0.0685,
392,0.0902,
393,0.0514,
394,0.0758,
395,0.0417,
396,0.0626,
397,0.0634,
398,0.1,
399,0.0921,
400,0.0784,
401,0.0551,
402,0.0604,
403,0.0742,
404,0.0448,
405,0.0804,
406,0.0736,
407,0.0818,
408,0.0672,
409,0.0928,
410,0.0765,
411,0.0518,
412,0.0558,
413,0.069,
414,0.0404,
415,0.0873,
416,0.0874,
417,0.1125,
418,0.0793,
419,0.0357,
420,0.0919,
421,0.0585,
422,0.0746,
423,0.0564,
424,0.0893,
425,0.0837,
426,0.0865,
427,0.0476,
428,0.0725,
429,0.0559,
430,0.0514,
431,0.0695,
432,0.0631,
433,0.0647,
434,0.0765,
435,0.0354,
436,0.0826,
437,0.0801,
438,0.1064,
439,0.129,
440,0.1197,
441,0.0706,
442,0.0483,
443,0.0602,
444,0.0936,
445,0.0756,
446,0.0922,
447,0.0465,
448,0.0454,0.24016617238521576
449,0.0385,
450,0.068,
451,0.0593,
452,0.0346,
453,0.0446,
454,0.1074,
455,0.0594,
456,0.0583,
457,0.0527,
458,0.0777,
459,0.0489,
460,0.0615,
461,0.0644,
462,0.0721,
463,0.0442,
464,0.0606,
465,0.0822,
466,0.0322,
467,0.0406,
468,0.0577,
469,0.041,
470,0.0488,
471,0.0729,
472,0.0381,
473,0.089,
474,0.099,
475,0.0627,
476,0.0513,
477,0.0974,
478,0.0384,
479,0.0666,
480,0.0435,
481,0.0338,
482,0.0777,
483,0.0596,
484,0.0711,
485,0.0937,
486,0.0878,
487,0.0498,
488,0.0406,
489,0.0487,
490,0.0535,
491,0.0513,
492,0.0808,
493,0.0743,
494,0.0628,
495,0.0428,
496,0.067,
497,0.0677,
498,0.0589,
499,0.0766,
500,0.0609,
501,0.0467,
502,0.0749,
503,0.0559,
504,0.0593,0.25149786472320557
